"pathway_a","pathway_b","correlation","partial_correlation","p_value","FDR"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_HEME_METABOLISM",0.69264710349784,-0.0625049352987117,0.0432705374421038,0.0845397262624836
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_HYPOXIA",0.532842044967243,0.092686355964512,0.00269508693544285,0.00801866102159764
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_IL2_STAT5_SIGNALING",0.323741145610036,-0.0557466972290162,0.0715137574980719,0.127147101502377
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.307198299733445,0.0647617803460444,0.0362408465105253,0.0732591369230917
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",0.210153100883991,0.0976459370960537,0.00156775759887899,0.00507080430885636
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.22830641558559,0.0871992223373285,0.00476960688232569,0.0134316515651701
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.251026190490663,-0.0834052934810304,0.0069555284639726,0.0182452299108489
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_KRAS_SIGNALING_DN",0.0901924427979585,-0.0674814461225378,0.0290831087275751,0.0613179651930218
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_KRAS_SIGNALING_UP",0.290793124031141,0.0482092683936008,0.119180576092697,0.192861566332303
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_MITOTIC_SPINDLE",0.456476323220879,-0.00770404849508202,0.803461715740616,0.852842812864282
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_MTORC1_SIGNALING",0.721347965505642,0.281108028135044,1.892696337983e-20,5.65500735129066e-19
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_MYC_TARGETS_V1",0.47881673311639,-0.00547899917009622,0.859515598866562,0.896854010742366
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_MYC_TARGETS_V2",0.331462937395913,-0.0852803433716297,0.00578258733452772,0.0156027962220186
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_MYOGENESIS",0.345054813686197,0.0422376391960463,0.17224604299423,0.259534320624762
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_NOTCH_SIGNALING",0.571470759292399,0.141382326605733,4.42854869950972e-06,2.75379297304538e-05
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.377679756727251,-0.0263244852734281,0.395039445614013,0.500955818713422
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_P53_PATHWAY",0.47014798638608,-0.0531223037746648,0.0859360992890526,0.150388173755842
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_PANCREAS_BETA_CELLS",0.605768455286025,0.0287093687700954,0.353616557657921,0.459851680606108
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_PEROXISOME",0.805715908196361,0.0578703442066679,0.0613494535612979,0.112001610450954
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.777425672196403,0.0920609429103122,0.0028806162934871,0.00850302399884745
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_PROTEIN_SECRETION",0.808047269439562,-0.0163897669328198,0.596473664479337,0.680969467835217
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.539793873092855,-0.0728992371754244,0.0183726837972885,0.041833713107209
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_SPERMATOGENESIS",0.242810817757696,-0.0162941181812567,0.598618681053777,0.682782015168414
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_TGF_BETA_SIGNALING",0.690360305735285,0.0653770943607799,0.0345020437772955,0.070324465269862
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.259171076512913,-0.132987133493575,1.59533141108952e-05,8.68569323815408e-05
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.789443232963369,-0.025193940932689,0.415659024692117,0.519573780865146
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_UV_RESPONSE_DN",0.601696176036317,0.123200429572907,6.46934771216862e-05,0.000315735097506237
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_UV_RESPONSE_UP",0.477322187404679,0.0646679053123699,0.0365125759446024,0.0735656340989112
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.470953504241806,-0.073091415995785,0.0180664544005595,0.0413826947054629
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM",0.684314669543333,0.0141968386843403,0.646501917423721,0.726573255820237
"HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION",0.734077661995326,-0.152622470587465,7.07537859237176e-07,4.81518820869745e-06
"HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_SURFACE",0.471651128062731,0.0399119629107923,0.19712005735362,0.289188108093634
"HALLMARK_ANGIOGENESIS","HALLMARK_APOPTOSIS",0.677568783769829,0.110150502595108,0.000358230235119647,0.00142942031928849
"HALLMARK_ANGIOGENESIS","HALLMARK_BILE_ACID_METABOLISM",0.38149066691444,0.0476051390196559,0.123884092041105,0.199157497047708
