pathway_a,pathway_b,partial_corr,p_value,jaccard,FDR,weight
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.2383672904803951,1.3428515581113568e-15,0.0498687664041994,2.937487783368593e-14,0.14411802844229724
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.04890390281530191,0.10595437613582141,0.0064308681672025,0.1744544499548135,0.027667385491252205
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_UV_RESPONSE_DN,-0.023354978372985096,0.4402899180008481,0.0058479532163742,0.5393551495510389,0.014601465794679648
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_UV_RESPONSE_UP,-0.036823546727332984,0.2236103484762692,0.0141643059490084,0.3170401352817474,0.025493926338170693
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.0032160954195164047,0.9153814772594376,0.0041493775933609,0.940723414129875,0.003682736506438652
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_XENOBIOTIC_METABOLISM,-0.0328638113639,0.2774598294311513,0.015228426395939,0.37432631173255543,0.0240461188799195
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,-0.05717357175335449,0.05869929040576012,0.0073529411764705,0.10621363478147142,0.032263256464912494
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_APICAL_JUNCTION,-0.1498137331877491,6.43635884276439e-07,0.0100671140939597,4.26191328777642e-06,0.0799404236408544
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_APICAL_SURFACE,0.0606466906783202,0.044911438608226814,0.0069444444444444,0.0852969182869424,0.0337955675613823
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_APOPTOSIS,0.13330863672338794,9.689397631593721e-06,0.0194552529182879,5.2988893297778164e-05,0.07638194482083792
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_BILE_ACID_METABOLISM,-0.0010599939631148643,0.9720638402240255,0.0142857142857142,0.9808716674418708,0.007672854124414532
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.5086254049614374,4.920262680577532e-73,0.023391812865497,5.022768153089564e-71,0.26600860891346717
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_COAGULATION,0.10874067385020432,0.0003142648175277981,0.0,0.0012287467291640273,0.05437033692510216
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_COMPLEMENT,0.01171936388255185,0.6986111219097565,0.0033333333333333,0.7689116121648263,0.007526348607942575
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_DNA_REPAIR,-0.05935469685168663,0.0496830628368833,0.004,0.09249506379206997,0.03167734842584331
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_E2F_TARGETS,-0.03507873277483006,0.24634084670174253,0.0066889632107023,0.3420461930387098,0.020883847992766182
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.09692515556370802,0.0013284609509858442,0.0100671140939597,0.0042269212076822315,0.05349613482883386
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.11353960768204623,0.00016769877700174035,0.0308219178082191,0.0007108339163568579,0.07218076274513266
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ESTROGEN_RESPONSE_LATE,-0.004959107496970743,0.8698576522222939,0.0308219178082191,0.903796118721213,0.01789051265259492
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_FATTY_ACID_METABOLISM,0.16598141693760762,3.351312083926347e-08,0.0277777777777777,2.696946228835992e-07,0.09687959735769267
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_G2M_CHECKPOINT,0.026958180547010758,0.37303515761620354,0.0033333333333333,0.47501878178778517,0.015145756940172029
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_GLYCOLYSIS,-0.14181281086893024,2.489235909808052e-06,0.0066889632107023,1.5557724436300326e-05,0.07425088703981628
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_HEDGEHOG_SIGNALING,0.023627233234596274,0.4349776795373754,0.0073529411764705,0.533915488410105,0.015490087205533387
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_HEME_METABOLISM,-0.06250493529871415,0.03872938534461569,0.0134680134680134,0.07566745940534962,0.03798647438336378
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_HYPOXIA,0.09268635596451348,0.002149444506609515,0.0100671140939597,0.006395399102246462,0.05137673502923659
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_IL2_STAT5_SIGNALING,-0.055746697229018545,0.06530201363609418,0.0135135135135135,0.11610299957070447,0.034630105371266026
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.06476178034604445,0.03220642011497135,0.0,0.06510373703108896,0.032380890173022224
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,0.09764593709603843,0.0012217933199131473,0.0066889632107023,0.003951923772114445,0.05216745015337036
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.08719922233730878,0.0038970749236166865,0.0050761421319796,0.010974521336621704,0.04613768223464419
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.08340529348101046,0.005774070433526405,0.0066889632107023,0.015146116233554274,0.04504712834585638
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,-0.06748144612253844,0.025615819390759752,0.0100671140939597,0.05400925775160188,0.03877428010824907
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_KRAS_SIGNALING_UP,0.04820926839359432,0.11101273009681069,0.0168918918918918,0.17964411409325376,0.03255058014274306
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_MITOTIC_SPINDLE,-0.007704048495077958,0.7990868692659973,0.0033444816053511,0.8482174386291288,0.005524265050214529
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_MTORC1_SIGNALING,0.2811080281350491,2.567505262726083e-21,0.0379310344827586,7.671204748388906e-20,0.15951953130890384
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_MYC_TARGETS_V1,-0.00547899917009675,0.8563552059896522,0.0066889632107023,0.8935563265224225,0.006083981190399525
