"missing_gene"
"B4GALNT2"
"BRS3"
"GCK"
"IGFBP1"
"KIF5A"
"LALBA"
"NCAN"
"NDST2"
"PKLR"
"PPARGC1A"
"CAPN3"
"CSF2"
"DRC1"
"FLT3LG"
"GPR83"
"HYCC2"
"NOP2"
"PENK"
"SCN9A"
"CRLF2"
"CXCL3"
"DNTT"
"IL10RB"
"IL9R"
"INHBE"
"REG1A"
"CCL24"
"CSF3"
"KCNMB2"
"MEFV"
"NMUR1"
"NPFFR2"
"OPRK1"
"PROK2"
"ROS1"
"SLC28A2"
"SLC31A2"
"SLC4A4"
"TACR3"
"VIP"
"IFI30"
"RNF31"
"GBP6"
"KLRK1"
"PSMA2"
"RIGI"
"TMT1B"
"ABCB11"
"ALOX12B"
"AMBN"
"ARPP21"
"ATP4A"
"BRDT"
"CALCB"
"CDH16"
"CHRNG"
"CKM"
"CLDN16"
"COQ8A"
"CPA2"
"CYP11B2"
"DCC"
"EDAR"
"EPHA5"
"FGF22"
"FSHB"
"GDNF"
"GRID2"
"HNF1A"
"HTR1B"
"IL5"
"INSL5"
"IRS4"
"ITIH3"
"KCNE2"
"KCNN1"
"KCNQ2"
"KRT4"
"MYH7"
"MYO15A"
"MYOT"
"NGB"
"NOS1"
"NPHS1"
"NPY4R"
"P2RX6"
"P2RY4"
"PAX3"
"PAX4"
"PCDHB1"
"PLAG1"
"PROP1"
"RYR2"
"SCGB1A1"
"SCN10A"
"SERPINA10"
"SLC12A3"
"SLC5A5"
"SLC6A3"
"SMPX"
"SNCB"
"SPRR3"
"SSTR4"
"TAS2R4"
"TEX15"
"TG"
"TSHB"
"VPREB1"
"WNT16"
"ANXA10"
"ARG1"
"CFHR2"
"CLEC4A"
"FGF9"
"GABRA3"
"H2BC3"
"HKDC1"
"HOXD11"
"PPBP"
"PTPRR"
"SNAP91"
"TNNT2"
"TPH1"
"USH1C"
"WNT7A"
"CDC42EP2"
"CPAP"
"FKBP2"
"PHB1"
"U2AF1"
"IPO4"
"ANKRD2"
"CAV3"
"COX6A2"
"CSRP3"
"FXYD1"
"HSPB2"
"MYBPC3"
"MYBPH"
"MYF6"
"MYH1"
"MYH2"
"MYH4"
"MYH8"
"MYL1"
"MYL11"
"MYL2"
"MYOG"
"SCHIP1"
"ATP6V0C"
"GLS2"
"H2AC25"
"NHLH2"
"TAX1BP3"
"TCHH"
"CHGA"
"DCX"
"FOXA2"
"G6PC2"
"GCG"
"IAPP"
"INS"
"ISL1"
"NEUROD1"
"NEUROG3"
"NKX2-2"
"PAX6"
"PCSK2"
"PDX1"
"SLC2A2"
"SST"
"CACNA1B"
"ESR2"
"FGF17"
"FGF6"
"GNGT1"
"PITX2"
"SH3GL2"
"MPO"
"SRXN1"
"ACRV1"
"ACTL7B"
"ADAD1"
"ADAM2"
"AKAP4"
"ART3"
"CFTR"
"CLVS1"
"CRISP2"
"CST8"
"DDX25"
"DDX4"
"DMRT1"
"DNAJB8"
"DPEP3"
"GAD1"
"GPR182"
"GRM8"
"GSG1"
"H1-6"
"HOXB1"
"HTR5A"
"MEP1B"
"MTNR1A"
"NAA11"
"ODF1"
"PAPOLB"
"PDHA2"
"PGK2"
"PRM2"
"SPMAP2"
"SYCP1"
"TCP11"
"TNP1"
"TNP2"
"TSSK2"
"TUBA3C"
"TULP2"
"ZNRF4"
"ZPBP"
"NOG"
"SKIC3"
"CACNA1A"
"CCK"
"NKX2-5"
"ONECUT1"
"DKK4"
"WNT1"
"ABCC2"
"ANGPTL3"
"CCL25"
"CRP"
"CYP17A1"
"CYP1A2"
"CYP2C18"
"CYP2E1"
"CYP4F2"
"DDC"
"FETUB"
"G6PC1"
"GCKR"
"GSTA3"
"GSTT2"
"HGFAC"
"HSD17B2"
"ITIH4"
"SLC22A1"
"UPB1"
