gene_symbol,string_id
AXL,9606.ENSP00000301178
AZGP1,9606.ENSP00000292401
B2M,9606.ENSP00000497910
B3GALT6,9606.ENSP00000368496
B3GAT3,9606.ENSP00000265471
B3GNT3,9606.ENSP00000321874
B4GALT1,9606.ENSP00000369055
B4GALT2,9606.ENSP00000310696
B4GALT4,9606.ENSP00000420161
B4GALT5,9606.ENSP00000360776
B4GALT7,9606.ENSP00000029410
BACH1,9606.ENSP00000382805
BAG1,9606.ENSP00000489189
BAG3,9606.ENSP00000358081
BAIAP2,9606.ENSP00000316338
BAK1,9606.ENSP00000363591
BANF1,9606.ENSP00000433760
BANK1,9606.ENSP00000320509
BARD1,9606.ENSP00000260947
BASP1,9606.ENSP00000319281
BATF,9606.ENSP00000286639
BATF2,9606.ENSP00000301887
BATF3,9606.ENSP00000243440
BAX,9606.ENSP00000293288
BAZ2A,9606.ENSP00000446880
BBOX1,9606.ENSP00000263182
BCAM,9606.ENSP00000270233
BCAN,9606.ENSP00000331210
BCAP31,9606.ENSP00000392330
BCAR1,9606.ENSP00000391669
BCAR3,9606.ENSP00000260502
BCAT1,9606.ENSP00000443459
BCKDHB,9606.ENSP00000318351
BCL10,9606.ENSP00000498104
BCL11B,9606.ENSP00000349723
BCL2,9606.ENSP00000381185
BCL2A1,9606.ENSP00000267953
BCL2L1,9606.ENSP00000365230
BCL2L10,9606.ENSP00000453562
BCL2L11,9606.ENSP00000376943
BCL2L13,9606.ENSP00000480836
BCL2L2,9606.ENSP00000250405
BCL3,9606.ENSP00000164227
BCL6,9606.ENSP00000384371
BCR,9606.ENSP00000303507
BDH2,9606.ENSP00000296424
BDKRB1,9606.ENSP00000216629
BDKRB2,9606.ENSP00000450482
BEST1,9606.ENSP00000399709
BET1,9606.ENSP00000222547
BGN,9606.ENSP00000327336
BHLHE40,9606.ENSP00000256495
BID,9606.ENSP00000318822
BIK,9606.ENSP00000216115
BIN1,9606.ENSP00000316779
BIRC2,9606.ENSP00000477613
BIRC3,9606.ENSP00000263464
BIRC5,9606.ENSP00000301633
BLCAP,9606.ENSP00000397172
BLVRA,9606.ENSP00000385757
BLVRB,9606.ENSP00000263368
BMF,9606.ENSP00000346697
BMP1,9606.ENSP00000305714
BMP2,9606.ENSP00000368104
BMP2K,9606.ENSP00000334836
BMP6,9606.ENSP00000283147
BMPR1A,9606.ENSP00000361107
BMPR1B,9606.ENSP00000401907
BMPR2,9606.ENSP00000363708
BNIP3,9606.ENSP00000357625
BNIP3L,9606.ENSP00000370003
BPGM,9606.ENSP00000376840
BPHL,9606.ENSP00000369739
BPNT1,9606.ENSP00000446828
BRAF,9606.ENSP00000419060
BRCA1,9606.ENSP00000418960
BRCA2,9606.ENSP00000369497
BRF2,9606.ENSP00000220659
BRMS1L,9606.ENSP00000216807
BRPF3,9606.ENSP00000350267
BSG,9606.ENSP00000333769
BST2,9606.ENSP00000252593
BTBD3,9606.ENSP00000384545
BTC,9606.ENSP00000379092
BTG1,9606.ENSP00000256015
BTG2,9606.ENSP00000290551
BTG3,9606.ENSP00000344609
BTRC,9606.ENSP00000359206
BUB1,9606.ENSP00000302530
BUB1B,9606.ENSP00000287598
BUB3,9606.ENSP00000357858
BYSL,9606.ENSP00000230340
C1QA,9606.ENSP00000363773
C1QBP,9606.ENSP00000225698
C1QC,9606.ENSP00000363770
C1R,9606.ENSP00000444271
C1S,9606.ENSP00000385035
C2,9606.ENSP00000299367
C3,9606.ENSP00000245907
C3AR1,9606.ENSP00000302079
C4BPB,9606.ENSP00000243611
C5,9606.ENSP00000223642
C5AR1,9606.ENSP00000347197
C8G,9606.ENSP00000360697
CA12,9606.ENSP00000178638
CA2,9606.ENSP00000285379
CAB39,9606.ENSP00000258418
CAB39L,9606.ENSP00000479669
CACNA1F,9606.ENSP00000365441
CACNA1H,9606.ENSP00000334198
CACNA2D2,9606.ENSP00000418081
CACNG1,9606.ENSP00000226021
CACYBP,9606.ENSP00000356652
CAD,9606.ENSP00000264705
CADM1,9606.ENSP00000329797
CADM2,9606.ENSP00000384193
CADM3,9606.ENSP00000357106
CALB2,9606.ENSP00000307508
CALCRL,9606.ENSP00000376177
CALD1,9606.ENSP00000354826
CALM1,9606.ENSP00000499717
CALM3,9606.ENSP00000291295
CALML5,9606.ENSP00000369689
CALR,9606.ENSP00000320866
CALU,9606.ENSP00000438248
CAMK1D,9606.ENSP00000478874
CAMK2B,9606.ENSP00000379098
CAMK4,9606.ENSP00000282356
CAMKK2,9606.ENSP00000312741
CANT1,9606.ENSP00000307674
CANX,9606.ENSP00000247461
CAP1,9606.ENSP00000361883
CAP2,9606.ENSP00000229922
CAPG,9606.ENSP00000263867
CAPN2,9606.ENSP00000295006
CAPN5,9606.ENSP00000498132
CAPN9,9606.ENSP00000271971
CAPZB,9606.ENSP00000401010
CASP1,9606.ENSP00000433138
CASP10,9606.ENSP00000286186
CASP2,9606.ENSP00000312664
CASP3,9606.ENSP00000311032
CASP4,9606.ENSP00000388566
CASP6,9606.ENSP00000265164
CASP7,9606.ENSP00000358327
CASP8,9606.ENSP00000351273
CASP8AP2,9606.ENSP00000478179
CASP9,9606.ENSP00000330237
CASQ1,9606.ENSP00000357057
CASQ2,9606.ENSP00000261448
CAST,9606.ENSP00000422176
CAT,9606.ENSP00000241052
CAV1,9606.ENSP00000339191
CAV2,9606.ENSP00000222693
CAVIN1,9606.ENSP00000349541
CAVIN2,9606.ENSP00000305675
CAVIN3,9606.ENSP00000307292
CBFA2T3,9606.ENSP00000268679
CBL,9606.ENSP00000264033
CBLB,9606.ENSP00000499037
CBR1,9606.ENSP00000290349
CBR3,9606.ENSP00000290354
CBR4,9606.ENSP00000303525
CBX1,9606.ENSP00000377060
CBX3,9606.ENSP00000336687
CBX5,9606.ENSP00000209875
CBX8,9606.ENSP00000269385
CCDC106,9606.ENSP00000465757
CCDC28A,9606.ENSP00000479060
CCDC88A,9606.ENSP00000338728
CCL11,9606.ENSP00000302234
CCL13,9606.ENSP00000225844
CCL17,9606.ENSP00000219244
CCL19,9606.ENSP00000308815
CCL2,9606.ENSP00000225831
CCL20,9606.ENSP00000351671
CCL22,9606.ENSP00000219235
CCL4,9606.ENSP00000482259
CCL5,9606.ENSP00000474412
CCL7,9606.ENSP00000367832
CCN1,9606.ENSP00000398736
CCN2,9606.ENSP00000356954
CCN5,9606.ENSP00000361959
CCNA1,9606.ENSP00000255465
CCNA2,9606.ENSP00000481380
CCNB2,9606.ENSP00000288207
CCND1,9606.ENSP00000227507
CCND2,9606.ENSP00000261254
CCND3,9606.ENSP00000362082
CCNE1,9606.ENSP00000262643
CCNF,9606.ENSP00000380256
CCNG1,9606.ENSP00000344635
CCNG2,9606.ENSP00000315743
CCNK,9606.ENSP00000374529
CCNL1,9606.ENSP00000295926
CCNO,9606.ENSP00000282572
CCNT1,9606.ENSP00000261900
