"interaction","name","ScoreAverage","selected","shared interaction","shared name"
"pp","GP41 (pp) Q9UBV2","0.842","false","pp","GP41 (pp) Q9UBV2"
"pp","GP41 (pp) Q96DZ1","0.871","false","pp","GP41 (pp) Q96DZ1"
"pp","GP41 (pp) Q9NYU2","0.851","false","pp","GP41 (pp) Q9NYU2"
"pp","GP41 (pp) 19172954","0.959","false","pp","GP41 (pp) 19172954"
"pp","GP120 (pp) Q9UI08","0.382","false","pp","GP120 (pp) Q9UI08"
"pp","GP120 (pp) O00231","0.39","false","pp","GP120 (pp) O00231"
"pp","GP120 (pp) P68431","0.386","false","pp","GP120 (pp) P68431"
"pp","GP120 (pp) O15460","0.397","false","pp","GP120 (pp) O15460"
"pp","GP120 (pp) Q13283","0.392","false","pp","GP120 (pp) Q13283"
"pp","GP120 (pp) P51665","0.401","false","pp","GP120 (pp) P51665"
"pp","GP120 (pp) Q5BKY9","0.397","false","pp","GP120 (pp) Q5BKY9"
"pp","GP120 (pp) P04439","0.407","false","pp","GP120 (pp) P04439"
"pp","GP120 (pp) Q9BS26","0.403","false","pp","GP120 (pp) Q9BS26"
"pp","GP120 (pp) P61619","0.411","false","pp","GP120 (pp) P61619"
"pp","GP120 (pp) P01130","0.41","false","pp","GP120 (pp) P01130"
"pp","GP120 (pp) Q8NFQ8","0.419","false","pp","GP120 (pp) Q8NFQ8"
"pp","GP120 (pp) Q15165","0.414","false","pp","GP120 (pp) Q15165"
"pp","GP120 (pp) Q9NYJ8","0.42","false","pp","GP120 (pp) Q9NYJ8"
"pp","GP120 (pp) Q9UN86","0.419","false","pp","GP120 (pp) Q9UN86"
"pp","GP120 (pp) Q12805","0.422","false","pp","GP120 (pp) Q12805"
"pp","GP120 (pp) Q9BUT9","0.421","false","pp","GP120 (pp) Q9BUT9"
"pp","GP120 (pp) P26196","0.423","false","pp","GP120 (pp) P26196"
"pp","GP120 (pp) O15234","0.423","false","pp","GP120 (pp) O15234"
"pp","GP120 (pp) O14656","0.423","false","pp","GP120 (pp) O14656"
"pp","GP120 (pp) P48723","0.423","false","pp","GP120 (pp) P48723"
"pp","GP120 (pp) Q14554","0.424","false","pp","GP120 (pp) Q14554"
"pp","GP120 (pp) Q9BTV4","0.423","false","pp","GP120 (pp) Q9BTV4"
"pp","GP120 (pp) Q13724","0.438","false","pp","GP120 (pp) Q13724"
"pp","GP120 (pp) Q9BV68","0.424","false","pp","GP120 (pp) Q9BV68"
"pp","GP120 (pp) Q13217","0.44","false","pp","GP120 (pp) Q13217"
"pp","GP120 (pp) P13612","0.439","false","pp","GP120 (pp) P13612"
"pp","GP120 (pp) P17066","0.447","false","pp","GP120 (pp) P17066"
"pp","GP120 (pp) O14967","0.444","false","pp","GP120 (pp) O14967"
"pp","GP120 (pp) P28072","0.452","false","pp","GP120 (pp) P28072"
"pp","GP120 (pp) Q9BZQ6","0.449","false","pp","GP120 (pp) Q9BZQ6"
"pp","GP120 (pp) Q9H0U3","0.453","false","pp","GP120 (pp) Q9H0U3"
"pp","GP120 (pp) Q96EE3","0.452","false","pp","GP120 (pp) Q96EE3"
"pp","GP120 (pp) P05107","0.46","false","pp","GP120 (pp) P05107"
"pp","GP120 (pp) P48741","0.453","false","pp","GP120 (pp) P48741"
"pp","GP120 (pp) Q92598","0.473","false","pp","GP120 (pp) Q92598"
"pp","GP120 (pp) Q8NBJ5","0.467","false","pp","GP120 (pp) Q8NBJ5"
"pp","GP120 (pp) Q13112","0.479","false","pp","GP120 (pp) Q13112"
"pp","GP120 (pp) P50454","0.477","false","pp","GP120 (pp) P50454"
"pp","GP120 (pp) Q8NBJ7","0.496","false","pp","GP120 (pp) Q8NBJ7"
"pp","GP120 (pp) Q8NBS9","0.493","false","pp","GP120 (pp) Q8NBS9"
"pp","GP120 (pp) P27797","0.645","false","pp","GP120 (pp) P27797"
"pp","GP120 (pp) Q3MHD2","0.55","false","pp","GP120 (pp) Q3MHD2"
"pp","GP120 (pp) Q14257","0.673","false","pp","GP120 (pp) Q14257"
"pp","GP120 (pp) P14314","0.647","false","pp","GP120 (pp) P14314"
"pp","GP120 (pp) Q14697","0.82","false","pp","GP120 (pp) Q14697"
"pp","GP120 (pp) P14625","0.791","false","pp","GP120 (pp) P14625"
"pp","GP120 (pp) Q9BRK5","0.859","false","pp","GP120 (pp) Q9BRK5"
"pp","GP120 (pp) O43852","0.847","false","pp","GP120 (pp) O43852"
"pp","GP120 (pp) Q9HCN8","0.912","false","pp","GP120 (pp) Q9HCN8"
"pp","GP120 (pp) Q9Y4L1","0.868","false","pp","GP120 (pp) Q9Y4L1"
"pp","GP120 (pp) Q9UBS4","0.956","false","pp","GP120 (pp) Q9UBS4"
"pp","GP120 (pp) Q99470","0.919","false","pp","GP120 (pp) Q99470"
"pp","GP120 (pp) 28876544","0.98","false","pp","GP120 (pp) 28876544"
"pp","GP160 (pp) P30685; P10319; P18465; P30464; P30484; P30491; P30492; P30493; P30495; Q29940","0.376","false","pp","GP160 (pp) P30685; P10319; P18465; P30464; P30484; P30491; P30492; P30493; P30495; Q29940"
"pp","GP160 (pp) P21796","0.378","false","pp","GP160 (pp) P21796"
"pp","GP160 (pp) P28072","0.377","false","pp","GP160 (pp) P28072"
"pp","GP160 (pp) Q9Y282","0.381","false","pp","GP160 (pp) Q9Y282"
"pp","GP160 (pp) P43629","0.38","false","pp","GP160 (pp) P43629"
"pp","GP160 (pp) Q93084","0.386","false","pp","GP160 (pp) Q93084"
"pp","GP160 (pp) Q14696","0.383","false","pp","GP160 (pp) Q14696"
"pp","GP160 (pp) Q99942","0.39","false","pp","GP160 (pp) Q99942"
"pp","GP160 (pp) O75955","0.387","false","pp","GP160 (pp) O75955"
"pp","GP160 (pp) Q8TCT9","0.39","false","pp","GP160 (pp) Q8TCT9"
"pp","GP160 (pp) Q9BUV8","0.39","false","pp","GP160 (pp) Q9BUV8"
"pp","GP160 (pp) Q15782","0.391","false","pp","GP160 (pp) Q15782"
"pp","GP160 (pp) P43630","0.39","false","pp","GP160 (pp) P43630"
"pp","GP160 (pp) Q9BXS5","0.391","false","pp","GP160 (pp) Q9BXS5"
"pp","GP160 (pp) P04578","0.391","false","pp","GP160 (pp) P04578"
"pp","GP160 (pp) Q9NWW5","0.392","false","pp","GP160 (pp) Q9NWW5"
"pp","GP160 (pp) Q96RQ1","0.391","false","pp","GP160 (pp) Q96RQ1"
"pp","GP160 (pp) P08134","0.392","false","pp","GP160 (pp) P08134"
"pp","GP160 (pp) Q92598","0.392","false","pp","GP160 (pp) Q92598"
"pp","GP160 (pp) P01130","0.392","false","pp","GP160 (pp) P01130"
"pp","GP160 (pp) Q9NVV0","0.392","false","pp","GP160 (pp) Q9NVV0"
"pp","GP160 (pp) Q15392","0.393","false","pp","GP160 (pp) Q15392"
"pp","GP160 (pp) P07339","0.392","false","pp","GP160 (pp) P07339"
"pp","GP160 (pp) P01892; P04439","0.405","false","pp","GP160 (pp) P01892; P04439"
"pp","GP160 (pp) O14967","0.396","false","pp","GP160 (pp) O14967"
"pp","GP160 (pp) P61619","0.411","false","pp","GP160 (pp) P61619"
"pp","GP160 (pp) P01733","0.406","false","pp","GP160 (pp) P01733"
"pp","GP160 (pp) P20701","0.414","false","pp","GP160 (pp) P20701"
"pp","GP160 (pp) P30508; Q29960; Q95604; P30510; P30505; Q29963","0.412","false","pp","GP160 (pp) P30508; Q29960; Q95604; P30510; P30505; Q29963"
"pp","GP160 (pp) Q96IV0","0.417","false","pp","GP160 (pp) Q96IV0"
"pp","GP160 (pp) P05107","0.415","false","pp","GP160 (pp) P05107"
"pp","GP160 (pp) Q12907","0.42","false","pp","GP160 (pp) Q12907"
"pp","GP160 (pp) Q9BYC5","0.419","false","pp","GP160 (pp) Q9BYC5"
"pp","GP160 (pp) P05067","0.425","false","pp","GP160 (pp) P05067"
"pp","GP160 (pp) P07384","0.42","false","pp","GP160 (pp) P07384"
"pp","GP160 (pp) P51571","0.43","false","pp","GP160 (pp) P51571"
"pp","GP160 (pp) P01850","0.43","false","pp","GP160 (pp) P01850"
"pp","GP160 (pp) Q9H3P7","0.431","false","pp","GP160 (pp) Q9H3P7"
"pp","GP160 (pp) P30101","0.431","false","pp","GP160 (pp) P30101"
"pp","GP160 (pp) Q13112","0.448","false","pp","GP160 (pp) Q13112"
"pp","GP160 (pp) Q14574","0.432","false","pp","GP160 (pp) Q14574"
"pp","GP160 (pp) Q6DD88","0.455","false","pp","GP160 (pp) Q6DD88"
"pp","GP160 (pp) Q96EE3","0.448","false","pp","GP160 (pp) Q96EE3"
"pp","GP160 (pp) Q15165","0.466","false","pp","GP160 (pp) Q15165"
"pp","GP160 (pp) Q13438","0.457","false","pp","GP160 (pp) Q13438"
"pp","GP160 (pp) P07237","0.545","false","pp","GP160 (pp) P07237"
"pp","GP160 (pp) O00264","0.502","false","pp","GP160 (pp) O00264"
"pp","GP160 (pp) P04843","0.587","false","pp","GP160 (pp) P04843"
"pp","GP160 (pp) P16615","0.58","false","pp","GP160 (pp) P16615"
"pp","GP160 (pp) P35232","0.668","false","pp","GP160 (pp) P35232"
"pp","GP160 (pp) P13073","0.657","false","pp","GP160 (pp) P13073"
"pp","GP160 (pp) P45880","0.733","false","pp","GP160 (pp) P45880"
"pp","GP160 (pp) P25786","0.73","false","pp","GP160 (pp) P25786"
"pp","GP160 (pp) Q9Y287","0.802","false","pp","GP160 (pp) Q9Y287"
"pp","GP160 (pp) P27824","0.764","false","pp","GP160 (pp) P27824"
"pp","GP160 (pp) O94901","0.816","false","pp","GP160 (pp) O94901"
"pp","GP160 (pp) Q9NYU2","0.815","false","pp","GP160 (pp) Q9NYU2"
"pp","GP160 (pp) P27797","0.867","false","pp","GP160 (pp) P27797"
"pp","GP160 (pp) Q07065","0.865","false","pp","GP160 (pp) Q07065"
"pp","GP160 (pp) P14314","0.882","false","pp","GP160 (pp) P14314"
"pp","GP160 (pp) Q99470","0.88","false","pp","GP160 (pp) Q99470"
"pp","GP160 (pp) Q9HCN8","0.9","false","pp","GP160 (pp) Q9HCN8"
"pp","GP160 (pp) Q9UBV2","0.887","false","pp","GP160 (pp) Q9UBV2"
"pp","GP160 (pp) Q96DZ1","0.913","false","pp","GP160 (pp) Q96DZ1"
"pp","GP160 (pp) P49257","0.905","false","pp","GP160 (pp) P49257"
"pp","GP160 (pp) Q14697","0.959","false","pp","GP160 (pp) Q14697"
"pp","GP160 (pp) Q9UBS4","0.949","false","pp","GP160 (pp) Q9UBS4"
"pp","GP160 (pp) 28876544","0.971","false","pp","GP160 (pp) 28876544"
