Hallmark pathway,Gene symbol,STRING ID,Degree centrality
HALLMARK_ALLOGRAFT_REJECTION,LCK,9606.ENSP00000477713,0.179640718562874
HALLMARK_ALLOGRAFT_REJECTION,ITGB2,9606.ENSP00000380948,0.173652694610778
HALLMARK_ALLOGRAFT_REJECTION,CXCR3,9606.ENSP00000362795,0.167664670658683
HALLMARK_ALLOGRAFT_REJECTION,CCR2,9606.ENSP00000292301,0.155688622754491
HALLMARK_ALLOGRAFT_REJECTION,CD3E,9606.ENSP00000354566,0.155688622754491
HALLMARK_ALLOGRAFT_REJECTION,GZMB,9606.ENSP00000216341,0.155688622754491
HALLMARK_ALLOGRAFT_REJECTION,AKT1,9606.ENSP00000451828,0.149700598802395
HALLMARK_ALLOGRAFT_REJECTION,CCL4,9606.ENSP00000482259,0.149700598802395
HALLMARK_ALLOGRAFT_REJECTION,HLA-A,9606.ENSP00000379873,0.149700598802395
HALLMARK_ALLOGRAFT_REJECTION,ZAP70,9606.ENSP00000264972,0.149700598802395
HALLMARK_ALLOGRAFT_REJECTION,CD3D,9606.ENSP00000300692,0.143712574850299
HALLMARK_ALLOGRAFT_REJECTION,IL2RB,9606.ENSP00000216223,0.143712574850299
HALLMARK_ALLOGRAFT_REJECTION,CD74,9606.ENSP00000009530,0.137724550898204
HALLMARK_ALLOGRAFT_REJECTION,IL18,9606.ENSP00000280357,0.137724550898204
HALLMARK_ALLOGRAFT_REJECTION,IL2RA,9606.ENSP00000369293,0.137724550898204
HALLMARK_ALLOGRAFT_REJECTION,HLA-DRA,9606.ENSP00000378786,0.131736526946108
HALLMARK_ALLOGRAFT_REJECTION,IL4R,9606.ENSP00000379111,0.131736526946108
HALLMARK_ALLOGRAFT_REJECTION,ITK,9606.ENSP00000398655,0.131736526946108
HALLMARK_ALLOGRAFT_REJECTION,B2M,9606.ENSP00000497910,0.125748502994012
HALLMARK_ALLOGRAFT_REJECTION,MMP9,9606.ENSP00000361405,0.125748502994012
HALLMARK_ALLOGRAFT_REJECTION,PRF1,9606.ENSP00000398568,0.125748502994012
HALLMARK_ALLOGRAFT_REJECTION,TGFB1,9606.ENSP00000221930,0.125748502994012
HALLMARK_ALLOGRAFT_REJECTION,CCL19,9606.ENSP00000308815,0.119760479041916
HALLMARK_ALLOGRAFT_REJECTION,CCL22,9606.ENSP00000219235,0.119760479041916
HALLMARK_ALLOGRAFT_REJECTION,LCP2,9606.ENSP00000046794,0.119760479041916
HALLMARK_ALLOGRAFT_REJECTION,CXCL13,9606.ENSP00000286758,0.11377245508982
HALLMARK_ALLOGRAFT_REJECTION,FASLG,9606.ENSP00000356694,0.11377245508982
HALLMARK_ALLOGRAFT_REJECTION,CCL11,9606.ENSP00000302234,0.107784431137725
HALLMARK_ALLOGRAFT_REJECTION,CCR1,9606.ENSP00000296140,0.107784431137725
HALLMARK_ALLOGRAFT_REJECTION,CD3G,9606.ENSP00000431445,0.107784431137725
HALLMARK_ALLOGRAFT_REJECTION,GZMA,9606.ENSP00000274306,0.107784431137725
HALLMARK_ALLOGRAFT_REJECTION,HLA-E,9606.ENSP00000365817,0.107784431137725
HALLMARK_ALLOGRAFT_REJECTION,IL12RB1,9606.ENSP00000470788,0.107784431137725
HALLMARK_ALLOGRAFT_REJECTION,IL2RG,9606.ENSP00000363318,0.107784431137725
HALLMARK_ALLOGRAFT_REJECTION,TLR3,9606.ENSP00000296795,0.107784431137725
